Month Reported,Month Reported Code,Cases
"April, 1993",1993/04,1370
"May, 1993",1993/05,1960
"June, 1993",1993/06,1710
"July, 1993",1993/07,1519
"August, 1993",1993/08,1685
"September, 1993",1993/09,1857
"October, 1993",1993/10,1012
"November, 1993",1993/11,1098
"December, 1993",1993/12,1347
"January, 1994",1994/01,1289
"February, 1994",1994/02,906
"March, 1994",1994/03,1829
"April, 1994",1994/04,1170
"May, 1994",1994/05,1158
"June, 1994",1994/06,1441
"July, 1994",1994/07,1278
"August, 1994",1994/08,1489
"September, 1994",1994/09,1557
"October, 1994",1994/10,1176
"November, 1994",1994/11,1175
"December, 1994",1994/12,1090
"January, 1995",1995/01,1097
"February, 1995",1995/02,1125
"March, 1995",1995/03,1702
"April, 1995",1995/04,955
"May, 1995",1995/05,1083
"June, 1995",1995/06,1105
"July, 1995",1995/07,1349
"August, 1995",1995/08,966
"September, 1995",1995/09,1464
"October, 1995",1995/10,1023
"November, 1995",1995/11,1187
"December, 1995",1995/12,1098
"January, 1996",1996/01,861
"February, 1996",1996/02,1044
"March, 1996",1996/03,1302
"April, 1996",1996/04,1027
"May, 1996",1996/05,1284
"June, 1996",1996/06,1099
"July, 1996",1996/07,1182
"August, 1996",1996/08,1051
"September, 1996",1996/09,1229
"October, 1996",1996/10,981
"November, 1996",1996/11,1099
"December, 1996",1996/12,892
"January, 1997",1997/01,860
"February, 1997",1997/02,944
"March, 1997",1997/03,1015
"April, 1997",1997/04,892
"May, 1997",1997/05,970
"June, 1997",1997/06,999
"July, 1997",1997/07,840
"August, 1997",1997/08,866
"September, 1997",1997/09,915
"October, 1997",1997/10,867
"November, 1997",1997/11,738
"December, 1997",1997/12,1130
"January, 1998",1998/01,609
"February, 1998",1998/02,750
"March, 1998",1998/03,851
"April, 1998",1998/04,728
"May, 1998",1998/05,664
"June, 1998",1998/06,700
"July, 1998",1998/07,637
"August, 1998",1998/08,703
"September, 1998",1998/09,694
"October, 1998",1998/10,602
"November, 1998",1998/11,578
"December, 1998",1998/12,674
"January, 1999",1999/01,523
"February, 1999",1999/02,646
"March, 1999",1999/03,769
"April, 1999",1999/04,611
"May, 1999",1999/05,640
"June, 1999",1999/06,780
"July, 1999",1999/07,519
"August, 1999",1999/08,640
"September, 1999",1999/09,626
"October, 1999",1999/10,543
"November, 1999",1999/11,586
"December, 1999",1999/12,657
"January, 2000",2000/01,416
"February, 2000",2000/02,546
"March, 2000",2000/03,474
"April, 2000",2000/04,548
"May, 2000",2000/05,552
"June, 2000",2000/06,605
"July, 2000",2000/07,500
"August, 2000",2000/08,487
"September, 2000",2000/09,602
"October, 2000",2000/10,397
"November, 2000",2000/11,472
"December, 2000",2000/12,682
"January, 2001",2001/01,344
"February, 2001",2001/02,424
"March, 2001",2001/03,467
"April, 2001",2001/04,412
"May, 2001",2001/05,500
"June, 2001",2001/06,537
"July, 2001",2001/07,514
"August, 2001",2001/08,538
"September, 2001",2001/09,550
"October, 2001",2001/10,466
"November, 2001",2001/11,609
"December, 2001",2001/12,635
"January, 2002",2002/01,369
"February, 2002",2002/02,372
"March, 2002",2002/03,589
"April, 2002",2002/04,348
"May, 2002",2002/05,488
"June, 2002",2002/06,601
"July, 2002",2002/07,527
"August, 2002",2002/08,438
"September, 2002",2002/09,489
"October, 2002",2002/10,577
"November, 2002",2002/11,477
"December, 2002",2002/12,643
