'a real' "Month Reported"	"Month Reported Code"	Cases
	"Before 1982"	"1981/All Months"	37
	"January, 1982"	"1982/01"	5
	"February, 1982"	"1982/02"	2
	"March, 1982"	"1982/03"	2
	"April, 1982"	"1982/04"	7
	"May, 1982"	"1982/05"	10
	"June, 1982"	"1982/06"	13
	"July, 1982"	"1982/07"	13
	"August, 1982"	"1982/08"	19
	"September, 1982"	"1982/09"	9
	"October, 1982"	"1982/10"	18
	"November, 1982"	"1982/11"	14
	"December, 1982"	"1982/12"	28
	"January, 1983"	"1983/01"	30
	"February, 1983"	"1983/02"	20
	"March, 1983"	"1983/03"	26
	"April, 1983"	"1983/04"	23
	"May, 1983"	"1983/05"	28
	"June, 1983"	"1983/06"	37
	"July, 1983"	"1983/07"	42
	"August, 1983"	"1983/08"	52
	"September, 1983"	"1983/09"	58
	"October, 1983"	"1983/10"	35
	"November, 1983"	"1983/11"	41
	"December, 1983"	"1983/12"	64
	"January, 1984"	"1984/01"	77
	"February, 1984"	"1984/02"	53
	"March, 1984"	"1984/03"	73
	"April, 1984"	"1984/04"	71
	"May, 1984"	"1984/05"	78
	"June, 1984"	"1984/06"	71
	"July, 1984"	"1984/07"	77
	"August, 1984"	"1984/08"	96
	"September, 1984"	"1984/09"	86
	"October, 1984"	"1984/10"	97
	"November, 1984"	"1984/11"	124
	"December, 1984"	"1984/12"	114
	"January, 1985"	"1985/01"	121
	"February, 1985"	"1985/02"	111
	"March, 1985"	"1985/03"	153
	"April, 1985"	"1985/04"	158
	"May, 1985"	"1985/05"	177
	"June, 1985"	"1985/06"	152
	"July, 1985"	"1985/07"	192
	"August, 1985"	"1985/08"	159
	"September, 1985"	"1985/09"	127
	"October, 1985"	"1985/10"	190
	"November, 1985"	"1985/11"	162
	"December, 1985"	"1985/12"	210
	"January, 1986"	"1986/01"	215
	"February, 1986"	"1986/02"	199
	"March, 1986"	"1986/03"	214
	"April, 1986"	"1986/04"	296
	"May, 1986"	"1986/05"	227
	"June, 1986"	"1986/06"	210
	"July, 1986"	"1986/07"	242
	"August, 1986"	"1986/08"	255
	"September, 1986"	"1986/09"	302
	"October, 1986"	"1986/10"	354
	"November, 1986"	"1986/11"	186
	"December, 1986"	"1986/12"	225
	"January, 1987"	"1987/01"	288
	"February, 1987"	"1987/02"	313
	"March, 1987"	"1987/03"	445
	"April, 1987"	"1987/04"	357
	"May, 1987"	"1987/05"	197
	"June, 1987"	"1987/06"	452
	"July, 1987"	"1987/07"	393
	"August, 1987"	"1987/08"	420
	"September, 1987"	"1987/09"	249
	"October, 1987"	"1987/10"	486
	"November, 1987"	"1987/11"	506
	"December, 1987"	"1987/12"	646
	"January, 1988"	"1988/01"	426
	"February, 1988"	"1988/02"	513
	"March, 1988"	"1988/03"	574
	"April, 1988"	"1988/04"	647
	"May, 1988"	"1988/05"	581
	"June, 1988"	"1988/06"	538
	"July, 1988"	"1988/07"	636
	"August, 1988"	"1988/08"	671
	"September, 1988"	"1988/09"	517
	"October, 1988"	"1988/10"	393
	"November, 1988"	"1988/11"	581
	"December, 1988"	"1988/12"	641
	"January, 1989"	"1989/01"	538
	"February, 1989"	"1989/02"	568
	"March, 1989"	"1989/03"	602
	"April, 1989"	"1989/04"	687
	"May, 1989"	"1989/05"	593
	"June, 1989"	"1989/06"	619
	"July, 1989"	"1989/07"	517
	"August, 1989"	"1989/08"	766
	"September, 1989"	"1989/09"	611
	"October, 1989"	"1989/10"	708
	"November, 1989"	"1989/11"	595
	"December, 1989"	"1989/12"	549
	"January, 1990"	"1990/01"	815
	"February, 1990"	"1990/02"	666
	"March, 1990"	"1990/03"	676
	"April, 1990"	"1990/04"	832
	"May, 1990"	"1990/05"	739
	"June, 1990"	"1990/06"	733
	"July, 1990"	"1990/07"	693
	"August, 1990"	"1990/08"	714
	"September, 1990"	"1990/09"	958
	"October, 1990"	"1990/10"	497
	"November, 1990"	"1990/11"	484
	"December, 1990"	"1990/12"	656
	"January, 1991"	"1991/01"	608
	"February, 1991"	"1991/02"	696
	"March, 1991"	"1991/03"	810
	"April, 1991"	"1991/04"	588
	"May, 1991"	"1991/05"	768
	"June, 1991"	"1991/06"	689
	"July, 1991"	"1991/07"	845
	"August, 1991"	"1991/08"	946
	"September, 1991"	"1991/09"	785
	"October, 1991"	"1991/10"	673
	"November, 1991"	"1991/11"	688
	"December, 1991"	"1991/12"	687
	"January, 1992"	"1992/01"	667
	"February, 1992"	"1992/02"	778
	"March, 1992"	"1992/03"	997
	"April, 1992"	"1992/04"	682
	"May, 1992"	"1992/05"	846
	"June, 1992"	"1992/06"	729
	"July, 1992"	"1992/07"	1419
	"August, 1992"	"1992/08"	153
	"September, 1992"	"1992/09"	769
	"October, 1992"	"1992/10"	803
	"November, 1992"	"1992/11"	688
	"December, 1992"	"1992/12"	666
	"January, 1993"	"1993/01"	1401
	"February, 1993"	"1993/02"	1437
	"March, 1993"	"1993/03"	4494
	"April, 1993"	"1993/04"	1370
	"May, 1993"	"1993/05"	1960
	"June, 1993"	"1993/06"	1710
	"July, 1993"	"1993/07"	1519
	"August, 1993"	"1993/08"	1685
	"September, 1993"	"1993/09"	1857
	"October, 1993"	"1993/10"	1012
	"November, 1993"	"1993/11"	1098
	"December, 1993"	"1993/12"	1347
	"January, 1994"	"1994/01"	1289
	"February, 1994"	"1994/02"	906
	"March, 1994"	"1994/03"	1829
	"April, 1994"	"1994/04"	1170
	"May, 1994"	"1994/05"	1158
	"June, 1994"	"1994/06"	1441
	"July, 1994"	"1994/07"	1278
	"August, 1994"	"1994/08"	1489
	"September, 1994"	"1994/09"	1557
	"October, 1994"	"1994/10"	1176
	"November, 1994"	"1994/11"	1175
	"December, 1994"	"1994/12"	1090
	"January, 1995"	"1995/01"	1097
	"February, 1995"	"1995/02"	1125
	"March, 1995"	"1995/03"	1702
	"April, 1995"	"1995/04"	955
	"May, 1995"	"1995/05"	1083
	"June, 1995"	"1995/06"	1105
	"July, 1995"	"1995/07"	1349
	"August, 1995"	"1995/08"	966
	"September, 1995"	"1995/09"	1464
	"October, 1995"	"1995/10"	1023
	"November, 1995"	"1995/11"	1187
	"December, 1995"	"1995/12"	1098
	"January, 1996"	"1996/01"	861
	"February, 1996"	"1996/02"	1044
	"March, 1996"	"1996/03"	1302
	"April, 1996"	"1996/04"	1027
	"May, 1996"	"1996/05"	1284
	"June, 1996"	"1996/06"	1099
	"July, 1996"	"1996/07"	1182
	"August, 1996"	"1996/08"	1051
	"September, 1996"	"1996/09"	1229
	"October, 1996"	"1996/10"	981
	"November, 1996"	"1996/11"	1099
	"December, 1996"	"1996/12"	892
	"January, 1997"	"1997/01"	860
	"February, 1997"	"1997/02"	944
	"March, 1997"	"1997/03"	1015
	"April, 1997"	"1997/04"	892
	"May, 1997"	"1997/05"	970
	"June, 1997"	"1997/06"	999
	"July, 1997"	"1997/07"	840
	"August, 1997"	"1997/08"	866
	"September, 1997"	"1997/09"	915
	"October, 1997"	"1997/10"	867
	"November, 1997"	"1997/11"	738
	"December, 1997"	"1997/12"	1130
	"January, 1998"	"1998/01"	609
	"February, 1998"	"1998/02"	750
	"March, 1998"	"1998/03"	851
	"April, 1998"	"1998/04"	728
	"May, 1998"	"1998/05"	664
	"June, 1998"	"1998/06"	700
	"July, 1998"	"1998/07"	637
	"August, 1998"	"1998/08"	703
	"September, 1998"	"1998/09"	694
	"October, 1998"	"1998/10"	602
	"November, 1998"	"1998/11"	578
	"December, 1998"	"1998/12"	674
	"January, 1999"	"1999/01"	523
	"February, 1999"	"1999/02"	646
	"March, 1999"	"1999/03"	769
	"April, 1999"	"1999/04"	611
	"May, 1999"	"1999/05"	640
	"June, 1999"	"1999/06"	780
	"July, 1999"	"1999/07"	519
	"August, 1999"	"1999/08"	640
	"September, 1999"	"1999/09"	626
	"October, 1999"	"1999/10"	543
	"November, 1999"	"1999/11"	586
	"December, 1999"	"1999/12"	657
	"January, 2000"	"2000/01"	416
	"February, 2000"	"2000/02"	546
	"March, 2000"	"2000/03"	474
	"April, 2000"	"2000/04"	548
	"May, 2000"	"2000/05"	552
	"June, 2000"	"2000/06"	605
	"July, 2000"	"2000/07"	500
	"August, 2000"	"2000/08"	487
	"September, 2000"	"2000/09"	602
	"October, 2000"	"2000/10"	397
	"November, 2000"	"2000/11"	472
	"December, 2000"	"2000/12"	682
	"January, 2001"	"2001/01"	344
	"February, 2001"	"2001/02"	424
	"March, 2001"	"2001/03"	467
	"April, 2001"	"2001/04"	412
	"May, 2001"	"2001/05"	500
	"June, 2001"	"2001/06"	537
	"July, 2001"	"2001/07"	514
	"August, 2001"	"2001/08"	538
	"September, 2001"	"2001/09"	550
	"October, 2001"	"2001/10"	466
	"November, 2001"	"2001/11"	609
	"December, 2001"	"2001/12"	635
	"January, 2002"	"2002/01"	369
	"February, 2002"	"2002/02"	372
	"March, 2002"	"2002/03"	589
	"April, 2002"	"2002/04"	348
	"May, 2002"	"2002/05"	488
	"June, 2002"	"2002/06"	601
	"July, 2002"	"2002/07"	527
	"August, 2002"	"2002/08"	438
	"September, 2002"	"2002/09"	489
	"October, 2002"	"2002/10"	577
	"November, 2002"	"2002/11"	477
	"December, 2002"	"2002/12"	643
"Total"			160367
"---"
"Dataset: AIDS Public Use (Vintage 2002)"
"Query Parameters:"
"Title:"
"Age at Diagnosis: 30 - 34 Years"
"Case Definition: All"
"Country of birth: Born in U.S., possessions or territories, or not specified"
"Date Diagnosed: All"
"Date Reported: All"
"Heterosexual Partner has Other Risks: All"
"Heterosexual Partner is an IV Drug User: All"
"Heterosexual Partner is Bisexual Male: All"
"Heterosexual Partner is HIV Positive: All"
"HIV Exposure Category: All"
"Location: All"
"Multiple modes of Exposure: All"
"Race or Ethnicity: All"
"Sex and Sexual Orientation: All"
"Vital Status: All"
"Group By: Month Reported"
"Show Totals: True"
"Show Zero Values: False"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/aids.html for more information."
"---"
"Query Date: Feb 15, 2017 10:57:50 PM"
"---"
"Suggested Citation: US Department of Health and Human Services (US DHHS), Centers for Disease Control and Prevention (CDC),"
"National Center for HIV, STD and TB Prevention (NCHSTP), AIDS Public Information Data Set (APIDS) US Surveillance Data for"
"1981-2002, CDC WONDER On-line Database, December 2005. Accessed at http://wonder.cdc.gov/aids-v2002.html on Feb 15, 2017"
"10:57:50 PM"
"---"
Caveats:
"1. Age groups classify the patient's age at time of diagnosis. The Age groups are structured in irregular ranges, in order to"
"affect numerator size and protect confidentiality. For example, cases where age is 'Missing' are included in the age 35-39 year"
"old range."
